Код класса;Имя;Идентификатор;Выводить сообщения;Проигрывать звук;
TQBR;Система;AFKS;0;0
TQBR;Акрон;AKRN;0;0
TQBR;Башнефт;BANE;0;0
TQBR;БашнефтП;BANEP;0;0
TQBR;ДетскийМир;DSKY;0;0
TQBR;ЛСР;LSRG;0;0
TQBR;MAIL;MAIL;0;0
TQBR;Магнит;MGNT;0;0
TQBR;МосЭнерго;MSNG;0;0
TQBR;Мечел;MTLR;0;0
TQBR;МечелП;MTLRP;0;0
TQBR;Мвидео;MVID;0;0
TQBR;НМТП;NMTP;0;0
TQBR;ОГКБ;OGKB;0;0
TQBR;ФосАгро;PHOR;0;0
TQBR;ПИК;PIKK;0;0
TQBR;Полюс;PLZL;0;0
TQBR;Polymetal;POLY;0;0
TQBR;Распадская;RASP;0;0
TQBR;РоссетиП;RSTIP;0;0
TQBR;РУСАЛ;RUAL;0;0
TQBR;Газпрнефть;SIBN;0;0
TQBR;ТатнфтП;TATNP;0;0
TQBR;TCSG;TCSG;0;0
TQBR;ТМК;TRMK;0;0
TQBR;Yandex;YNDX;0;0
